opcode	mnemonic	size	cycles
00	NOP	1	4
01	LXI B,#	3	10
02	STAX B	1	7
03	INX B	1	5
04	INR B	1	5
05	DCR B	1	5
06	MVI B,#	2	7
07	RLC	1	4
08	NOP	1	5
09	DAD B	1	10
0A	LDAX B	1	7
0B	DCX B	1	5
0C	INR C	1	5
0D	DCR C	1	5
0E	MVI C,#	2	7
0F	RRC	1	4
10	NOP	1	4
11	LXI D,#	3	10
12	STAX D	1	7
13	INX D	1	5
14	INR D	1	5
15	DCR D	1	5
16	MVI D,#	2	7
17	RAL	1	4
18	NOP	1	5
19	DAD D	1	10
1A	LDAX D	1	7
1B	DCX D	1	5
1C	INR E	1	5
1D	DCR E	1	5
1E	MVI E,#	2	7
1F	RAR	1	4
20	NOP	1	4
21	LXI H,#	3	10
22	SHLD addr	3	16
23	INX H	1	5
24	INR H	1	5
25	DCR H	1	5
26	MVI H,#	2	7
27	DAA	1	4
28	NOP	1	5
29	DAD H	1	10
2A	LHLD addr	3	16
2B	DCX H	1	5
2C	INR L	1	5
2D	DCR L	1	5
2E	MVI L,#	2	7
2F	CMA	1	4
30	NOP	1	4
31	LXI SP,#	3	10
32	STA addr	3	13
33	INX SP	1	5
34	INR M	1	10
35	DCR M	1	10
36	MVI M,#	2	10
37	STC	1	4
38	NOP	1	5
39	DAD SP	1	10
3A	LDA addr	3	16
3B	DCX SP	1	5
3C	INR A	1	5
3D	DCR A	1	5
3E	MVI A,#	2	7
3F	CMC	1	4
40	MOV B,B	1	5
41	MOV B,C	1	5
42	MOV B,D	1	5
43	MOV B,E	1	5
44	MOV B,H	1	5
45	MOV B,L	1	5
46	MOV B,M	1	7
47	MOV B,A	1	5
48	MOV C,B	1	5
49	MOV C,C	1	5
4A	MOV C,D	1	5
4B	MOV C,E	1	5
4C	MOV C,H	1	5
4D	MOV C,L	1	5
4E	MOV C,M	1	7
4F	MOV C,A	1	5
50	MOV D,B	1	5
51	MOV D,C	1	5
52	MOV D,D	1	5
53	MOV D,E	1	5
54	MOV D,H	1	5
55	MOV D,L	1	5
56	MOV D,M	1	7
57	MOV D,A	1	5
58	MOV E,B	1	5
59	MOV E,C	1	5
5A	MOV E,D	1	5
5B	MOV E,E	1	5
5C	MOV E,H	1	5
5D	MOV E,L	1	5
5E	MOV E,M	1	7
5F	MOV E,A	1	5
60	MOV H,B	1	5
61	MOV H,C	1	5
62	MOV H,D	1	5
63	MOV H,E	1	5
64	MOV H,H	1	5
65	MOV H,L	1	5
66	MOV H,M	1	7
